datetime,year,yday,hour,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat
2007-06-08T12:00:00Z,2007,159,13,17.5075,1643.9499999999998,4.8,5.326349911586833,9.007691992280886,1.00634651294454,820.8258804831421,8.956736226096185,0.9943430829752652
2007-06-08T13:00:00Z,2007,159,14,17.587142857142858,1626.5471428571427,6.3,5.317581760769103,8.999198856176841,1.0072584901595043,812.9321241783882,8.95535638597381,0.995128180752119
2007-06-08T14:00:00Z,2007,159,15,17.72714285714286,1600.4142857142856,4,5.308813609951373,8.976635710436963,1.0097524029393965,800.6550829730634,8.960762260137148,0.9982316927174221
2007-06-08T15:00:00Z,2007,159,16,17.825714285714287,1304.5857142857142,4.6,5.300045459133642,8.96852734562888,1.011742413848497,653.2979583991304,8.960453848586202,0.9990997967970056
2007-06-08T16:00:00Z,2007,159,17,17.865714285714287,1017.4614285714285,3.5,5.2912773083159115,8.963979260982425,1.0133333943863665,510.0144665818217,8.975859722749542,1.0013253557846602
2007-06-08T17:00:00Z,2007,159,18,17.802857142857142,669.64,2.9,5.282509157498181,8.979759272922005,1.0148556638514876,335.9943762062451,8.99126559691288,1.001281362188135
2007-06-08T18:00:00Z,2007,159,19,17.72,356.53714285714284,2.9,5.273741006680451,9.002484232003532,1.0155885141184557,179.06953345773212,9.02381432821909,1.0023693566870944
2007-06-08T19:00:00Z,2007,159,20,17.692857142857143,104.35357142857143,2.1,5.2649728558627205,9.011685446168178,1.016733181123042,52.46271508237152,9.047791630953858,1.004006596213479
2007-06-08T20:00:00Z,2007,159,21,17.66,1e-5,0.9,5.25620470504499,9.024514432088722,1.0130339650035156,5.03234249435091e-6,9.03605464797434,1.001278763081655
2007-06-08T21:00:00Z,2007,159,22,17.617142857142856,1e-5,2,5.247436554227259,9.039551583677861,1.0102049398408757,5.037292366492399e-6,9.024317664994824,0.9983147484095843
2007-06-08T22:00:00Z,2007,159,23,17.568571428571428,1e-5,2.4,5.238668403409529,9.050895374267586,1.0089012536977002,5.042249685600538e-6,9.022580682015304,0.9968716142346775
2007-06-08T23:00:00Z,2007,159,24,17.517142857142858,1e-5,2.4,5.229900252591799,9.06119871716235,1.0066129218992776,5.047214465070331e-6,9.020843699035787,0.9955463929899111
2007-06-09T00:00:00Z,2007,160,1,17.474285714285713,1e-5,2.5,6.831285616007258,9.06926660867123,1.0045773419307513,4.275925037143092e-6,9.01910671605627,0.9944692448927456
2007-06-09T01:00:00Z,2007,160,2,17.437142857142856,1e-5,2.7,6.771837590789253,9.074668115546507,1.0039419242010592,4.301855584692108e-6,9.015941161648179,0.993528473642169
2007-06-09T02:00:00Z,2007,160,3,17.395714285714284,1e-5,2.4,6.725943989881592,9.085693479695552,1.0026862359130042,4.322044955118042e-6,9.014204178668662,0.9921316626863264
