Date,ppr
2014-06-04,22.602072538860103
2014-06-19,11.58871473354232
2014-06-25,12.78534278959811
2014-07-02,8.188297872340424
2014-07-09,7.898979591836734
2014-07-16,14.55644053831365
2014-07-30,18.93806521347505
2014-08-06,31.032288629737607
2014-08-23,18.379545454545454
2015-06-24,5.511456023651146
2015-07-01,6.270171149144254
2015-07-15,12.760194174757283
2015-07-29,13.886612426035503
2015-08-12,20.492806958849116
2015-08-29,9.12266355140187
2016-07-13,26.916371681415928
2016-07-22,30.49890590809628
2016-07-27,23.56182212581345
2016-08-03,22.406382978723407
2016-08-11,37.18658136994851
2016-08-24,30.884377758164167
2017-08-02,26.476750547045953
2017-08-17,30.985789473684214
2017-08-23,33.849259259259256
