date	event	z	s62	p80	type
2007-06-18	13684	6.060416666666667	198.50781552276337	197.49682294039295	m2
2007-06-19	13684	6.214583333333334	258.9020179389925	257.8674503474086	m2
2007-06-20	13684	4.983333333333333	223.20227093909142	222.37988853391101	m2
2007-06-21	13684	5.675	241.73339795854136	242.07995679152097	m2
2007-06-22	13684	5.064583333333333	226.33536175240747	226.5463897213543	m2
2007-07-01	13697	6.510416666666667	733.7978688992824	730.8171032472711	m2
2007-07-02	13697	6.68125	515.7601970752713	512.2707834448674	m2
2007-07-03	13697	6.672916666666667	649.664828035915	645.0950997385855	m2
2007-07-04	13697	6.9375	820.6218093473294	812.8346732422929	m2
2007-07-05	13697	7.095833333333333	821.277453870155	812.9744077960859	m2
2007-07-15	13711	7.545833333333333	397.085119156475	400.9663170490673	m2
2007-07-16	13711	7.65	404.46134431053275	407.4714563665212	m2
2007-07-17	13711	7.485416666666667	372.567707575093	376.74000382991204	m2
2007-07-18	13711	7.429166666666666	364.78488103930744	368.46427927328665	m2
2007-07-19	13711	7.633333333333333	401.7515026539404	404.14739735662675	m2
2007-07-29	13725	5.55625	239.94818767972023	323.6448180958702	m2
2007-07-30	13725	4.44375	178.80826311810216	261.7206614901931	m2
2007-07-31	13725	5.80625	259.2913495969767	336.7983351491774	m2
2007-08-01	13725	5.354166666666667	223.32833135076194	306.6540440464502	m2
2007-08-02	13725	6.75625	306.2925892245139	389.55108344826135	m2
2007-09-19	13777	9.997916666666667	509.7164183336993	504.87424560186747	m2
2007-09-20	13777	10.00625	448.6509028548417	455.68975261193685	m2
2007-09-21	13777	9.95625	393.7554861004427	393.82216764290405	m2
2007-09-22	13777	10.079166666666666	591.6689119650366	581.8514560421235	m2
2007-09-23	13777	10.010416666666666	582.3299012873564	572.2094083565954	m2
2008-05-11	14012	5.96875	535.8728134081343	551.7107680489071	m2
2008-05-12	14012	5.4625	534.1558895701824	531.5350531030231	m2
2008-05-13	14012	6.33125	499.7820848816888	504.0872178630409	m2
2008-05-14	14012	7.7	779.4577862336239	764.2404243063019	m2
2008-05-15	14012	7.147916666666666	740.5597269686536	721.270031762311	m2
2008-05-28	14029	7.625	581.2794288616071	579.0778335952236	m2
2008-05-29	14029	7.5625	519.0304767822723	520.0738261332698	m2
2008-05-30	14029	6.972916666666666	198.38519963195424	208.02303905512323	m2
2008-05-31	14029	7.297916666666667	323.48183900921356	335.6583616388835	m2
2008-06-01	14029	7.25625	533.3120636103238	532.5373536044876	m2
2008-06-08	14040	6.45	266.8806132505088	277.02070470159936	m2
2008-06-09	14040	6.458333333333333	482.737592160999	482.92288520702203	m2
2008-06-10	14040	5.816666666666666	409.6174543267403	417.85917885393314	m2
2008-06-11	14040	5.785416666666666	261.2068149961721	271.0358604010668	m2
2008-06-12	14040	5.922916666666667	251.5250645641901	267.18324073932587	m2
2008-07-14	14076	6.204166666666667	513.6557818031267	522.5079549058277	m2
2008-07-15	14076	6.610416666666667	516.9026324086904	521.1448109322776	m2
2008-07-16	14076	6.375	497.2035180504029	496.9171254033499	m2
2008-07-17	14076	6.735416666666667	418.4156725350289	419.5042403847973	m2
2008-07-18	14076	6.852083333333333	536.0799552433839	540.3307079244166	m2
2008-07-28	14090	6.7875	348.7718757754832	363.9193237312952	m2
2008-07-29	14090	7.016666666666667	317.40065670779364	322.30232332439795	m2
2008-07-30	14090	6.6875	357.74467419422984	366.5478470549712	m2
2008-07-31	14090	5.897916666666666	323.7150206047193	325.76274829488483	m2
2008-08-01	14090	6.839583333333334	323.29006911553387	345.2863264594648	m2
