year,yday,hour,datetime,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,k,series,unique_series,series_length,unique_day,index
2009,161,4,2009-06-10T08:00:00Z,10.803333333333333,12.809007936507935,0,1.1,9.985606991343825,9.971390602056845,1.0834329698311969,1e-5,0.004046451178309137,1,3,1313,157,3735
2009,161,5,2009-06-10T09:00:00Z,10.763333333333334,12.829007936507935,3.5,2.2,9.983809891965748,9.965119640879408,1.0801007635853617,1.2034493886098896,0.005881101386764622,1,3,1313,157,3736
2009,161,6,2009-06-10T10:00:00Z,10.753333333333334,12.84329365079365,70.7,1.1,9.981849490314938,9.964791794874998,1.0791327661119716,24.313533339603193,0.004051732942557446,1,3,1313,157,3737
2009,161,7,2009-06-10T11:00:00Z,10.763333333333334,12.856150793650793,194.7,2.3,9.967522958386972,9.959561213308161,1.0807035674374044,67.03447108475002,0.006061955699027398,1,3,1313,157,3738
2009,161,8,2009-06-10T12:00:00Z,10.773333333333333,12.876150793650792,711.8,2.9,9.941933191595405,9.956122815281807,1.0820812010070002,245.5786863622964,0.007085463497577951,1,3,1313,157,3739
2009,161,9,2009-06-10T13:00:00Z,10.813333333333334,12.947579365079363,942.2,5,9.932768794692201,9.939940255727022,1.0878670349253956,325.31086714696045,0.010631918254728229,1,3,1313,157,3740
2009,161,10,2009-06-10T14:00:00Z,10.803333333333333,13.066150793650792,953.5,5,9.966441302926189,9.907290836886318,1.0904427366875025,328.31518413893224,0.01063000657588216,1,3,1313,157,3741
2009,161,11,2009-06-10T15:00:00Z,10.813333333333334,13.051865079365077,481.1,5.9,9.976530965717261,9.908163975700054,1.0913559121400518,165.52016789536415,0.01212400611002274,1,3,1313,157,3742
2009,161,12,2009-06-10T16:00:00Z,10.833333333333334,12.979007936507935,203.6,3.8,9.9822459913905,9.924350147688918,1.0915912046751082,70.01522768315547,0.0085815242444153,1,3,1313,157,3743
2009,161,13,2009-06-10T17:00:00Z,10.833333333333334,12.964722222222221,367.7,3.9,9.99141271072655,9.924149649952199,1.0916132581077629,126.35323583224057,0.008737346728880432,1,3,1313,157,3744
2009,161,14,2009-06-10T18:00:00Z,10.833333333333334,12.974722222222221,212.6,2.4,10.004155134190963,9.920657566218633,1.0919975073247667,72.98080878205303,0.006225998313703676,1,3,1313,157,3745
2009,161,15,2009-06-10T19:00:00Z,10.833333333333334,13.006150793650793,271.1,1.9,10.023232034302882,9.917001344067918,1.0924001073987493,92.91927457031271,0.005386116870942356,1,3,1313,157,3746
