do,wtemp,year,yday,hour,do_eq,o2_sat,par,wspeed,z,par_int,datetime
8.204198939,16.45923633,2015,152,1,8.008392599,1.024450142,0,1.589961876,4.545997361,NA,2015-06-01T00:00:00Z
8.183161439,16.4239725,2015,152,2,8.014418128,1.021054967,0,1.077070948,4.545997361,NA,2015-06-01T01:00:00Z
8.174579439,16.33507417,2015,152,3,8.029643366,1.0180501260000001,0,0.974492762,4.545997361,NA,2015-06-01T02:00:00Z
8.206623106,16.21929283,2015,152,4,8.049548616,1.019513453,0,0.615469113,4.545997361,NA,2015-06-01T03:00:00Z
8.176906606,16.22918433,2015,152,5,8.047844694,1.016036829,0,2.461876454,4.545997361,NA,2015-06-01T04:00:00Z
8.181712606,16.15431283,2015,152,6,8.060757837,1.015005384,0,2.410587361,4.545997361,NA,2015-06-01T05:00:00Z
8.177487106,16.086476,2015,152,7,8.072488987,1.013006908,4.2,2.461876454,4.545997361,NA,2015-06-01T06:00:00Z
8.180906106,16.02426667,2015,152,8,8.083273201,1.012078387,95.1,2.513165546,4.545997361,NA,2015-06-01T07:00:00Z
8.202853806,15.9676905,2015,152,9,8.093102754,1.01356106,494.7,3.385080123,4.545997361,NA,2015-06-01T08:00:00Z
8.239420273,15.93373483,2015,152,10,8.099012248,1.017336438,794.9,2.359298268,4.545997361,NA,2015-06-01T09:00:00Z
8.187663773,15.90826,2015,152,11,8.103450726,1.010392245,657.5,1.897696433,4.545997361,NA,2015-06-01T10:00:00Z
8.166144106,15.99598183,2015,152,12,8.088184804,1.009638665,1321.3,1.641250969,4.545997361,NA,2015-06-01T11:00:00Z
8.185864773,15.995981,2015,152,13,8.088184949,1.012076853,1215.6,1.743829154,4.545997361,NA,2015-06-01T12:00:00Z
8.163062606,15.947886,2015,152,14,8.096548525,1.008215115,854.1,1.743829154,4.545997361,NA,2015-06-01T13:00:00Z
8.073193356,15.9379815,2015,152,15,8.098272764,0.996903116,649,1.538672784,4.545997361,NA,2015-06-01T14:00:00Z
8.097532806,15.95212983,2015,152,16,8.095809928,1.000212811,296,1.333516413,4.545997361,NA,2015-06-01T15:00:00Z
8.095375856,15.97334967,2015,152,17,8.092118589,1.000402523,183.9,1.128360041,4.545997361,NA,2015-06-01T16:00:00Z
8.173182106,15.991739,2015,152,18,8.088922013,1.010416727,213.5,0.820625485,4.545997361,NA,2015-06-01T17:00:00Z
8.174866939,15.9860815,2015,152,19,8.089905209,1.010502191,300.2,1.179649134,4.545997361,NA,2015-06-01T18:00:00Z
8.182562106,15.97193583,2015,152,20,8.092364444,1.011146021,42.3,0.974492762,4.545997361,NA,2015-06-01T19:00:00Z
8.206432439,15.9153405,2015,152,21,8.102216664,1.012862625,114.2,0.153867279,4.545997361,NA,2015-06-01T20:00:00Z
8.200731273,15.87995817,2015,152,22,8.108386736,1.011388768,19,0,4.545997361,NA,2015-06-01T21:00:00Z
