do,wtemp,year,yday,hour,do_eq,o2_sat,par,wspeed,z,par_int,datetime
7.781162434,18.37249977,2017,180,1,7.692933167,1.011468872,0,0,2.709038449,0,2017-06-29T00:00:00Z
7.770995767,18.37864693,2017,180,2,7.691954636,1.010275819,0,0,2.709038449,0,2017-06-29T01:00:00Z
7.747495767,18.37596076,2017,180,3,7.6923822059999996,1.007164694,0,0,2.709038449,0,2017-06-29T02:00:00Z
7.744995767,18.38077459,2017,180,4,7.691615997,1.006939994,0,0,2.709038449,0,2017-06-29T03:00:00Z
7.710162434,18.37425509,2017,180,5,7.692653727,1.00227603,0,0,2.709038449,0,2017-06-29T04:00:00Z
7.715662434,18.29790225,2017,180,6,7.704825201,1.001406551,2.1,0,2.709038449,1,2017-06-29T05:00:00Z
7.711329101,18.22288274,2017,180,7,7.716816811,0.999288863,57.1,0,2.709038449,40,2017-06-29T06:00:00Z
7.698162434,18.15202991,2017,180,8,7.728172261,0.996116827,391.1,0,2.709038449,271,2017-06-29T07:00:00Z
7.708162434,18.1065104,2017,180,9,7.735482945,0.996468157,761,0,2.709038449,527,2017-06-29T08:00:00Z
7.740329101,18.1154909,2017,180,10,7.734039675,1.000813214,1090.8,0,2.709038449,755,2017-06-29T09:00:00Z
7.683329101,18.16180473,2017,180,11,7.726603939,0.994399242,1374.1,0,2.709038449,951,2017-06-29T10:00:00Z
7.710162434,18.20978522,2017,180,12,7.718913737,0.998866252,1594,0,2.709038449,1103,2017-06-29T11:00:00Z
7.645995767,18.10793239,2017,180,13,7.735254385,0.988460804,1720.8,1.033134407,2.709038449,1191,2017-06-29T12:00:00Z
7.666329101,18.20924622,2017,180,14,7.719000054,0.993176454,1754.6,1.033134407,2.709038449,1214,2017-06-29T13:00:00Z
7.696329101,18.33106004,2017,180,15,7.699535373,0.999583576,1689.1,1.033134407,2.709038449,1169,2017-06-29T14:00:00Z
7.702995767,18.39554054,2017,180,16,7.689266556,1.001785503,1532.7,1.033134407,2.709038449,1061,2017-06-29T15:00:00Z
7.717995767,18.42835437,2017,180,17,7.684049948,1.004417699,1302.2,1.033134407,2.709038449,901,2017-06-29T16:00:00Z
7.711162434,18.4536682,2017,180,18,7.680029866,1.004053704,1016.8,1.033134407,2.709038449,704,2017-06-29T17:00:00Z
7.723162434,18.51981536,2017,180,19,7.669542307,1.006991307,234.7,0,2.709038449,162,2017-06-29T18:00:00Z
7.736995767,18.50462919,2017,180,20,7.671947853,1.00847867,38.1,0,2.709038449,26,2017-06-29T19:00:00Z
7.711829101,18.53727635,2017,180,21,7.666778042,1.00587614,21.1,0,2.709038449,15,2017-06-29T20:00:00Z
7.703162434,18.50975685,2017,180,22,7.671135466,1.004174997,2.1,0,2.709038449,1,2017-06-29T21:00:00Z
7.702662434,18.53657068,2017,180,23,7.666889724,1.00466587,0,0,2.709038449,0,2017-06-29T22:00:00Z
7.700329101,18.60255117,2017,180,24,7.656459657,1.00572973,0,0,2.709038449,0,2017-06-29T23:00:00Z
7.684995767,18.559865,2017,181,1,7.663204582,1.002843613,0,0,2.63746738,0,2017-06-30T00:00:00Z
7.686995767,18.5463455,2017,181,2,7.665342981,1.002824764,0,0,2.63746738,0,2017-06-30T01:00:00Z
7.697829101,18.57615933,2017,181,3,7.660628665,1.004856055,0,0,2.63746738,0,2017-06-30T02:00:00Z
7.681495767,18.53030649,2017,181,4,7.667881239,1.001775527,0,0,2.63746738,0,2017-06-30T03:00:00Z
7.681829101,18.54345365,2017,181,5,7.665800523,1.00209092,0,0,2.63746738,0,2017-06-30T04:00:00Z
7.666995767,18.51993415,2017,181,6,7.669523496,0.999670419,2.1,0,2.63746738,1,2017-06-30T05:00:00Z
7.661995767,18.48958131,2017,181,7,7.674332788,0.998392431,55,0,2.63746738,38,2017-06-30T06:00:00Z
7.727329101,18.51256181,2017,181,8,7.670691133,1.007383685,384.7,0,2.63746738,268,2017-06-30T07:00:00Z
7.702662434,18.58687564,2017,181,9,7.658935379,1.005709286,750.5,0,2.63746738,524,2017-06-30T08:00:00Z
7.713829101,18.54568947,2017,181,10,7.665446773,1.006311743,1076,0,2.63746738,751,2017-06-30T09:00:00Z
7.738829101,18.60183663,2017,181,11,7.656572479,1.010743269,1361.4,0,2.63746738,950,2017-06-30T10:00:00Z
7.705662434,18.69698379,2017,181,12,7.641574803,1.008386705,1581.3,0,2.63746738,1103,2017-06-30T11:00:00Z
7.660579101,18.63896429,2017,181,13,7.650714106,1.001289421,1710.2,1.033134407,2.63746738,1193,2017-06-30T12:00:00Z
7.627329101,18.73694478,2017,181,14,7.635291131,0.998957207,1741.9,1.033134407,2.63746738,1215,2017-06-30T13:00:00Z
7.625329101,18.78192528,2017,181,15,7.628228906,0.999619859,1665.8,1.033134407,2.63746738,1162,2017-06-30T14:00:00Z
7.631995767,18.80740578,2017,181,16,7.624233341,1.001018126,1536.9,1.033134407,2.63746738,1072,2017-06-30T15:00:00Z
7.627995767,18.81355294,2017,181,17,7.623269956,1.000619919,1308.6,1.033134407,2.63746738,913,2017-06-30T16:00:00Z
7.669662434,18.9282001,2017,181,18,7.605341125,1.008457386,1021.1,1.033134407,2.63746738,712,2017-06-30T17:00:00Z
7.677495767,18.9286806,2017,181,19,7.605266138,1.009497318,238.9,1.033134407,2.63746738,167,2017-06-30T18:00:00Z
7.704995767,18.96816109,2017,181,20,7.599109128,1.013934086,38.1,1.033134407,2.63746738,27,2017-06-30T19:00:00Z
7.700495767,18.97414159,2017,181,21,7.598177221,1.013466196,25.4,0,2.63746738,18,2017-06-30T20:00:00Z
7.703662434,19.01778875,2017,181,22,7.591381936,1.014790521,2.1,0,2.63746738,1,2017-06-30T21:00:00Z
7.646829101,18.95960258,2017,181,23,7.600443099,1.006103065,0,0,2.63746738,0,2017-06-30T22:00:00Z
7.684995767,18.99308308,2017,181,24,7.595226985,1.011819105,0,0,2.63746738,0,2017-06-30T23:00:00Z
7.692829101,19.04839691,2017,182,1,7.586622946,1.013999134,0,0,2.565896311,0,2017-07-01T00:00:00Z
7.670995767,19.01254407,2017,182,2,7.592197906,1.010378794,0,0,2.565896311,0,2017-07-01T01:00:00Z
7.639829101,18.95852457,2017,182,3,7.600611152,1.005159841,0,0,2.565896311,0,2017-07-01T02:00:00Z
7.642162434,18.97833839,2017,182,4,7.597523375,1.005875475,0,0,2.565896311,0,2017-07-01T03:00:00Z
7.623829101,18.96765222,2017,182,5,7.599188432,1.003242539,0,0,2.565896311,0,2017-07-01T04:00:00Z
7.622329101,19.03096605,2017,182,6,7.589332479,1.004347763,0,0,2.565896311,0,2017-07-01T05:00:00Z
7.621495767,18.99494655,2017,182,7,7.594936847,1.003496924,48.6,0,2.565896311,34,2017-07-01T06:00:00Z
7.585995767,18.94376038,2017,182,8,7.602913413,0.997774847,359.4,0,2.565896311,253,2017-07-01T07:00:00Z
7.597329101,19.03774087,2017,182,9,7.58827917,1.00119262,716.6,0,2.565896311,504,2017-07-01T08:00:00Z
7.595829101,19.03388804,2017,182,10,7.588878155,1.000915938,1042.2,1.033134407,2.565896311,733,2017-07-01T09:00:00Z
7.613662434,19.04270187,2017,182,11,7.587508025,1.003447035,1329.7,1.033134407,2.565896311,935,2017-07-01T10:00:00Z
7.675495767,19.1395157,2017,182,12,7.572486318,1.013603121,1551.7,1.033134407,2.565896311,1091,2017-07-01T11:00:00Z
7.669329101,19.17466286,2017,182,13,7.567045628,1.013516963,1684.9,1.033134407,2.565896311,1185,2017-07-01T12:00:00Z
7.651829101,19.31414335,2017,182,14,7.54552115,1.014088881,1720.8,2.113229433,2.565896311,1210,2017-07-01T13:00:00Z
7.686662434,19.26879052,2017,182,15,7.552508281,1.017762861,1661.6,1.033134407,2.565896311,1169,2017-07-01T14:00:00Z
7.638329101,19.34593768,2017,182,16,7.540629551,1.012956418,1520,1.033134407,2.565896311,1069,2017-07-01T15:00:00Z
7.662995767,19.39391818,2017,182,17,7.533258095,1.017221987,1293.8,1.033134407,2.565896311,910,2017-07-01T16:00:00Z
7.652162434,19.50539867,2017,182,18,7.516179026,1.018092093,1010.5,1.033134407,2.565896311,711,2017-07-01T17:00:00Z
7.667495767,19.56304583,2017,182,19,7.507373664,1.021328644,241,1.033134407,2.565896311,169,2017-07-01T18:00:00Z
7.654162434,19.52435966,2017,182,20,7.513280839,1.018751009,38.1,0,2.565896311,27,2017-07-01T19:00:00Z
7.633329101,19.51934016,2017,182,21,7.514047881,1.015874429,21.1,0,2.565896311,15,2017-07-01T20:00:00Z
7.655329101,19.59198732,2017,182,22,7.502959714,1.020307904,2.1,0,2.565896311,1,2017-07-01T21:00:00Z
7.610995767,19.51180115,2017,182,23,7.51520019,1.01274691,0,0,2.565896311,0,2017-07-01T22:00:00Z
7.596162434,19.57078165,2017,182,24,7.506193412,1.011985972,0,0,2.565896311,0,2017-07-01T23:00:00Z
7.584329101,19.57126214,2017,183,1,7.506120114,1.010419363,0,0,2.494325242,0,2017-07-02T00:00:00Z
7.599495767,19.57290931,2017,183,2,7.505868852,1.012473828,0,0,2.494325242,0,2017-07-02T01:00:00Z
7.577662434,19.56922313,2017,183,3,7.506431169,1.009489365,0,0,2.494325242,0,2017-07-02T02:00:00Z
7.531329101,19.51120363,2017,183,4,7.515291532,1.002133992,0,0,2.494325242,0,2017-07-02T03:00:00Z
7.561662434,19.53118413,2017,183,5,7.512238194,1.006579163,0,0,2.494325242,0,2017-07-02T04:00:00Z
7.576495767,19.66799796,2017,183,6,7.491388507,1.011360679,2.1,0,2.494325242,1,2017-07-02T05:00:00Z
7.561495767,19.60281178,2017,183,7,7.50131,1.008023368,46.5,0,2.494325242,33,2017-07-02T06:00:00Z
7.554829101,19.54745895,2017,183,8,7.509752731,1.006002377,374.2,0,2.494325242,265,2017-07-02T07:00:00Z
7.558995767,19.53693944,2017,183,9,7.511359089,1.006341952,733.6,0,2.494325242,520,2017-07-02T08:00:00Z
7.583829101,19.54308661,2017,183,10,7.510420327,1.009774256,1059.1,0,2.494325242,751,2017-07-02T09:00:00Z
7.599995767,19.47073377,2017,183,11,7.521482569,1.010438527,1340.3,0,2.494325242,950,2017-07-02T10:00:00Z
7.569495767,19.51288093,2017,183,12,7.515035131,1.00724689,1562.2,0,2.494325242,1108,2017-07-02T11:00:00Z
7.581829101,19.51352809,2017,183,13,7.514936206,1.008901326,1699.7,1.128360041,2.494325242,1205,2017-07-02T12:00:00Z
