do,wtemp,year,yday,hour,do_eq,o2_sat,par,wspeed,z,par_int,datetime
7.892036281,16.906783,2014,152,1,7.932602124,0.994886187,0,0,4.667881212,0,2014-06-01T00:00:00Z
7.869338329,16.85466833,2014,152,2,7.941363042,0.990930434,0,0,4.667881212,0,2014-06-01T01:00:00Z
7.865611377,16.892696,2014,152,3,7.934968605,0.991259294,0,0,4.667881212,0,2014-06-01T02:00:00Z
7.847369592,16.85326083,2014,152,4,7.941599889,0.988134595,0,0,4.667881212,0,2014-06-01T03:00:00Z
7.847949806,16.8800235,2014,152,5,7.937098515,0.988768098,0,0,4.667881212,0,2014-06-01T04:00:00Z
7.857446021,16.863121,2014,152,6,7.93994093,0.989610136,0,0,4.667881212,0,2014-06-01T05:00:00Z
7.840457736,16.87579467,2014,152,7,7.937809492,0.98773569,0,0,4.667881212,0,2014-06-01T06:00:00Z
7.824828117,16.96028983,2014,152,8,7.923624706,0.98753139,21.1,0,4.667881212,12,2014-06-01T07:00:00Z
7.859443998,16.92649917,2014,152,9,7.929292066,0.991191134,255.8,0,4.667881212,140,2014-06-01T08:00:00Z
7.819741713,17.03208333,2014,152,10,7.911606959,0.988388548,651.1,0,4.667881212,357,2014-06-01T09:00:00Z
7.855049594,17.00815533,2014,152,11,7.915608809,0.992349393,993.6,0,4.667881212,545,2014-06-01T10:00:00Z
7.873131975,17.00111867,2014,152,12,7.916786332,0.994485849,1291.7,0,4.667881212,709,2014-06-01T11:00:00Z
7.873260023,17.03771217,2014,152,13,7.910666075,0.995271441,1526.3,0,4.667881212,838,2014-06-01T12:00:00Z
7.853019571,17.09822017,2014,152,14,7.900564215,0.99398212,1670.1,1.128360041,4.667881212,917,2014-06-01T13:00:00Z
7.826582286,17.140423,2014,152,15,7.893531733,0.99151844200000006,1722.9,1.128360041,4.667881212,946,2014-06-01T14:00:00Z
7.791178167,17.19105517,2014,152,16,7.885109027,0.988087564,1680.6,2.308009175,4.667881212,923,2014-06-01T15:00:00Z
7.771057215,17.22761483,2014,152,17,7.879037035,0.986295302,1536.9,1.128360041,4.667881212,844,2014-06-01T16:00:00Z
7.854712096,17.26557183,2014,152,18,7.872741593,0.997709883,1312.8,1.128360041,4.667881212,721,2014-06-01T17:00:00Z
7.847686311,17.37238517,2014,152,19,7.855072832,0.99905965,1023.2,1.128360041,4.667881212,562,2014-06-01T18:00:00Z
7.879910859,17.24588233,2014,152,20,7.876006143,1.000495774,494.7,1.128360041,4.667881212,272,2014-06-01T19:00:00Z
7.836165407,17.23604517,2014,152,21,7.877638045,0.994735397,52.9,1.128360041,4.667881212,29,2014-06-01T20:00:00Z
7.862527288,17.34568483,2014,152,22,7.859483039,1.000387335,29.6,0,4.667881212,16,2014-06-01T21:00:00Z
7.818793003,17.61392083,2014,152,23,7.815372645,1.000437645,4.2,1.128360041,4.667881212,2,2014-06-01T22:00:00Z
7.801467384,17.58303067,2014,152,24,7.820430402,0.997575195,0,0,4.667881212,0,2014-06-01T23:00:00Z
7.873561432,17.26833383,2014,153,1,7.872283838,1.00016229,0,0,4.562071933,0,2014-06-02T00:00:00Z
7.839324813,17.285247,2014,153,2,7.869481777,0.996167859,0,0,4.562071933,0,2014-06-02T01:00:00Z
7.819783028,17.39627,2014,153,3,7.85113133,0.996007161,0,0,4.562071933,0,2014-06-02T02:00:00Z
7.790416576,17.413128,2014,153,4,7.848351479,0.992618207,0,0,4.562071933,0,2014-06-02T03:00:00Z
7.81524879,17.29227217,2014,153,5,7.868318405,0.993255279,0,0,4.562071933,0,2014-06-02T04:00:00Z
7.805170005,17.32460667,2014,153,6,7.862967659,0.992649384,0,0,4.562071933,0,2014-06-02T05:00:00Z
7.800073386,17.36395233,2014,153,7,7.856465253,0.992822234,0,0,4.562071933,0,2014-06-02T06:00:00Z
7.783299601,17.368169,2014,153,8,7.855768947,0.990775016,23.3,0,4.562071933,13,2014-06-02T07:00:00Z
7.849346315,17.31055283,2014,153,9,7.865292522,0.997972586,260,0,4.562071933,145,2014-06-02T08:00:00Z
7.745372363,17.41312767,2014,153,10,7.848351534,0.986878879,661.7,0,4.562071933,368,2014-06-02T09:00:00Z
7.714407411,17.43279383,2014,153,11,7.845110791,0.983339511,1008.4,0,4.562071933,561,2014-06-02T10:00:00Z
7.736562959,17.47913883,2014,153,12,7.837482925,0.987123421,1298,1.128360041,4.562071933,722,2014-06-02T11:00:00Z
7.867789674,17.3695745,2014,153,13,7.855536879,1.001559765,1522.1,2.308009175,4.562071933,846,2014-06-02T12:00:00Z
7.804371555,17.54092317,2014,153,14,7.827334009,0.997066376,1665.8,2.308009175,4.562071933,926,2014-06-02T13:00:00Z
7.813479436,17.60690317,2014,153,15,7.816521172,0.999610858,1718.7,2.308009175,4.562071933,956,2014-06-02T14:00:00Z
7.811177817,17.69390667,2014,153,16,7.802302743,1.001137494,1670.1,2.308009175,4.562071933,929,2014-06-02T15:00:00Z
