datetime,year,yday,hour,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int
2010-04-23T11:00:00Z,2010,113,12,NA,NaN,NA,NaN,NA,NaN,NA,NA
2010-04-23T12:00:00Z,2010,113,13,NA,15.7925,527.5,10.145042129427798,NA,9.603141796338827,NA,NA
2010-04-23T13:00:00Z,2010,113,14,16.28,15.42,388.2,5.742924433500648,NA,9.68000390139697,1.6818175039837073,NA
2010-04-23T14:00:00Z,2010,113,15,14.835,15.202,266,5.34740622182705,NA,9.725498631922559,1.5253716607708148,NA
2010-04-23T15:00:00Z,2010,113,16,12.687999999999999,15.042,209.8,4.983529467087339,NA,9.759133214331298,1.300115463263444,NA
2010-04-23T16:00:00Z,2010,113,17,11.916,14.792,148.8,4.619652712347629,NA,9.812105362706433,1.2144182679988322,NA
2010-04-23T17:00:00Z,2010,113,18,11.782,14.636,93.8,4.2241345006740305,NA,9.845420968351654,1.1966984487381014,NA
2010-04-23T18:00:00Z,2010,113,19,11.076,14.57,72.4,4.936067281686507,NA,9.859576919526962,1.1233747746380378,NA
2010-04-23T19:00:00Z,2010,113,20,10.99,14.65,11.4,4.6829356262154045,NA,9.842422856887229,1.1165949847714332,NA
2010-04-23T20:00:00Z,2010,113,21,10.934000000000001,14.741999999999999,0.4,2.673703110913525,NA,9.822761484704412,1.1131289319226536,NA
2010-04-23T21:00:00Z,2010,113,22,10.852,14.854000000000001,0.4,3.2116078787896187,NA,9.764540175978752,1.1113682574317685,NA
2010-04-23T22:00:00Z,2010,113,23,12.248,14.978,0.4,5.600537877298153,NA,9.738352451408177,1.2577076113351109,NA
2010-04-23T23:00:00Z,2010,113,24,11.956,15.228,1,6.439036486046182,NA,9.685934490199433,1.2343672169265132,NA
2010-04-24T00:00:00Z,2010,114,1,12.556,15.33,0.8,5.806207347368424,NA,9.664692596659595,1.2991618589441454,NA
2010-04-24T01:00:00Z,2010,114,2,12.922,15.254,0.4,6.138442645174247,NA,9.680511969029533,1.3348467561778579,NA
2010-04-24T02:00:00Z,2010,114,3,11.822,15.282,0.4,7.324997280195042,NA,9.674678396938813,1.2219527631782185,NA
2010-04-24T03:00:00Z,2010,114,4,10.902000000000001,15.256,0.8,4.667114897748461,NA,9.680095076790874,1.1262286076237809,NA
2010-04-24T04:00:00Z,2010,114,5,10.696,15.213999999999999,0.6,2.610420197045749,NA,9.688856558721783,1.1039486378164614,NA
2010-04-24T05:00:00Z,2010,114,6,10.832,15.241999999999999,0.4,3.638767547397105,NA,9.683013996616118,1.1186599548224772,NA
2010-04-24T06:00:00Z,2010,114,7,11.44,15.216,16.4,4.951888010153452,NA,9.688439023891817,1.1807887701815338,NA
2010-04-24T07:00:00Z,2010,114,8,11.034,15.14,74,6.565602313781732,NA,9.704327989052537,1.1370184532558534,NA
2010-04-24T08:00:00Z,2010,114,9,10.346,15.152000000000001,69.2,4.90442582475262,NA,9.70181610976768,1.0663982787288415,NA
2010-04-24T09:00:00Z,2010,114,10,10.61,15.228,221.2,5.252481851025387,NA,9.651816394564733,1.0992749516013227,NA
2010-04-24T10:00:00Z,2010,114,11,10.838000000000001,15.256,396.4,5.806207347368424,NA,9.64599644404642,1.1235749528696224,NA
2010-04-24T11:00:00Z,2010,114,12,11.302,15.228,389.2,6.31247065831063,NA,9.651816394564733,1.1709713009423326,NA
2010-04-24T12:00:00Z,2010,114,13,10.402,15.241999999999999,528.8,6.9927619823892195,NA,9.648905635258757,1.078049718093346,NA
2010-04-24T13:00:00Z,2010,114,14,9.764,15.092,359.4,6.3757535721784055,NA,9.680174186579642,1.0086595356451924,NA
2010-04-24T14:00:00Z,2010,114,15,10.326,15.08,624.6,6.486498671447014,NA,9.682683490639048,1.0664398986069195,NA
2010-04-24T15:00:00Z,2010,114,16,11.184,15.068,435,7.499025293331425,NA,9.650964208743977,1.1588479407961185,NA
2010-04-24T16:00:00Z,2010,114,17,11.044,14.978,235.8,8.337523902079454,NA,9.669766691095045,1.1421164907908787,NA
2010-04-24T17:00:00Z,2010,114,18,11.206,14.904,100.4,13.669109395439559,NA,9.650930590865059,1.1611315504234243,NA
2010-04-24T18:00:00Z,2010,114,19,9.065999999999999,14.472,45.6,9.350050523963866,NA,9.742054456046606,0.9306045291476481,NA
2010-04-24T19:00:00Z,2010,114,20,7.932,14.294,13,7.736336220335584,NA,9.814828759392347,0.8081648895208117,NA
2010-04-24T20:00:00Z,2010,114,21,7.303333333333333,14.044,3.2,7.150969267058658,NA,9.8338580286393409,0.742672236274277,NA
2010-04-24T21:00:00Z,2010,114,22,7.6325,13.83,2.8,7.593949664133089,NA,9.880339503335499,0.7724936979567705,NA
2010-04-24T22:00:00Z,2010,114,23,8.27,13.764,2.8,7.5623082071992,NA,9.859585796615503,0.8387776292629696,NA
2010-04-24T23:00:00Z,2010,114,24,7.952,14.068,2.8,3.5913053619962736,NA,9.793724703581384,0.8119484915776835,NA
2010-04-25T00:00:00Z,2010,115,1,8.158,14.918,3,3.891899202868208,NA,9.613667843645366,0.8485835097155386,NA
2010-04-25T01:00:00Z,2010,115,2,9.132,15.118,3.2,1.993411786834936,NA,9.572157013879625,0.9540169458940762,NA
2010-04-25T02:00:00Z,2010,115,3,9.958,15.216,3.8,2.6262409255126933,NA,9.551933248642127,1.0425114728911655,NA
2010-04-25T03:00:00Z,2010,115,4,10.052,15.256,3.8,5.853669532769256,NA,9.543700545813055,1.0532602056976674,NA
2010-04-25T04:00:00Z,2010,115,5,9.798,15.228,3.6,7.071865624723939,NA,9.549462107660629,1.0260263760971409,NA
2010-04-25T05:00:00Z,2010,115,6,9.622,15.28,4.2,6.802913240785892,NA,9.504685030784081,1.0123428571105675,NA
2010-04-25T06:00:00Z,2010,115,7,9.496,15.306,34.2,5.284123307959274,NA,9.499363522860431,0.999645921239635,NA
2010-04-25T07:00:00Z,2010,115,8,9.264000000000001,15.228,218,3.3223529780582264,NA,9.515344012025926,0.9735853993604157,NA
2010-04-25T08:00:00Z,2010,115,9,9.354,15.154,553.8,6.201725559042023,NA,9.530549363682338,0.9814754263426715,NA
2010-04-25T09:00:00Z,2010,115,10,9.818,15.068,715.8,10.742274629054931,NA,9.5482749645269,1.0282485618056836,NA
2010-04-25T10:00:00Z,2010,115,11,9.35,15.128,364.8,10.726453900587988,NA,9.535902074555384,0.9805050352759571,NA
2010-04-25T11:00:00Z,2010,115,12,8.998,15.14,333,4.936067281686507,NA,9.533430926673304,0.9438364917319284,NA
2010-04-25T12:00:00Z,2010,115,13,9.324,15.187999999999999,272.2,5.0942745663559466,NA,9.523557744332036,0.979045882884387,NA
2010-04-25T13:00:00Z,2010,115,14,9.816,15.19,264,7.150969267058658,NA,9.523146757447691,1.0307517304953093,NA
2010-04-25T14:00:00Z,2010,115,15,10.66,15.292,316.2,8.08439224660835,NA,9.502228289671905,1.1218421274498838,NA
2010-04-25T15:00:00Z,2010,115,16,11.042,15.46,186.6,7.546487478732257,NA,9.467952483296557,1.1662500439752301,NA
2010-04-25T16:00:00Z,2010,115,17,9.784,15.318,248.6,4.730397811616236,NA,9.462853617445766,1.0339375832636961,NA
2010-04-25T17:00:00Z,2010,115,18,9.709999999999999,15.368,249,7.198431452459491,NA,9.452674188358275,1.0272225411046794,NA
2010-04-25T18:00:00Z,2010,115,19,10.648,15.526,140.6,10.25183204657967,NA,9.420635165284308,1.1302847221213508,NA
2010-04-25T19:00:00Z,2010,115,20,10.652000000000001,15.432,26,8.274240988211679,NA,9.439672977564571,1.1284289217769288,NA
2010-04-25T20:00:00Z,2010,115,21,10.346,15.42,3.4,14.127910520980935,NA,9.44210827507836,1.0957298622922367,NA
2010-04-25T21:00:00Z,2010,115,22,10.11,15.46,2.8,11.438386681600466,NA,9.467952483296557,1.0678127100696955,NA
2010-04-25T22:00:00Z,2010,115,23,10.075999999999999,15.38,4,10.615708801319382,NA,9.45023403008662,1.0662169812854512,NA
2010-04-25T23:00:00Z,2010,115,24,10.290000000000001,15.378,3.4,8.559014100616668,NA,9.45064064513205,1.0888150747008138,NA
2010-04-26T00:00:00Z,2010,116,1,10.172,15.446,3.8,7.87872277653808,NA,9.4368332123711145,1.0779039717121552,NA
2010-04-26T01:00:00Z,2010,116,2,10.424,15.528,4,6.676347413050341,NA,9.420230849445005,1.1065546234054477,NA
2010-04-26T02:00:00Z,2010,116,3,10.668,15.472000000000001,3.6,9.840493106439128,NA,9.431563402510893,1.131095614239304,NA
2010-04-26T03:00:00Z,2010,116,4,10.818,15.662,3.6,10.473322245116886,NA,9.393212016325501,1.151682723779491,NA
2010-04-26T04:00:00Z,2010,116,5,10.68,15.71,3.8,13.400157011501513,NA,9.383567230780011,1.138159906284619,NA
2010-04-26T05:00:00Z,2010,116,6,10.526,15.71,3.8,13.669109395439559,NA,9.417353424257808,1.1177237941273894,NA
