datetime,year,yday,hour,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int
2011-05-16T00:00:00Z,2011,136,1,14.186666666666666,18.763333333333332,1e-5,9.83521953028348,NA,8.963609746048949,1.5826957072645846,NA
2011-05-16T01:00:00Z,2011,136,2,14.018,18.656,1e-5,10.346756417381334,NA,8.983201219044565,1.5604682181983816,NA
2011-05-16T02:00:00Z,2011,136,3,13.398,18.432,1e-5,10.97958555605909,NA,9.024335778650563,1.4846522036221754,NA
2011-05-16T03:00:00Z,2011,136,4,13.108,18.266,1e-5,10.25183204657967,NA,9.05503767235021,1.447591989597748,NA
2011-05-16T04:00:00Z,2011,136,5,12.790000000000001,18.158,1e-5,11.438386681600466,NA,9.07511303979725,1.4093488360874176,NA
2011-05-16T05:00:00Z,2011,136,6,12.724,18.11,0.6,10.48914297358383,NA,9.084061037328368,1.4006951238784435,NA
2011-05-16T06:00:00Z,2011,136,7,12.748,18.11,41.2,9.682285821769687,NA,9.116289256965674,1.3983759883726121,NA
2011-05-16T07:00:00Z,2011,136,8,12.434,18.032,170.4,9.176022510827481,NA,9.130911775681062,1.3617479070508887,NA
2011-05-16T08:00:00Z,2011,136,9,12.277999999999999,17.932000000000002,289.4,8.859607941488603,NA,9.149720200169433,1.3418989577159568,NA
2011-05-16T09:00:00Z,2011,136,10,12.31,17.86,324.2,9.524078537100248,NA,9.163305316909197,1.3434017065091302,NA
2011-05-16T10:00:00Z,2011,136,11,12.402,17.8,344.4,10.742274629054931,NA,9.174653893581363,1.3517676136727625,NA
2011-05-16T11:00:00Z,2011,136,12,12.46,17.758,290.8,14.080448335580101,NA,9.182612897421517,1.35691225789326,NA
2011-05-16T12:00:00Z,2011,136,13,12.328,17.634,312.6,16.88071727422918,NA,9.206183271711513,1.3390999979199971,NA
2011-05-16T13:00:00Z,2011,136,14,12.194,17.522000000000002,452.8,12.925535157493194,NA,9.227566022732795,1.3214752373441898,NA
2011-05-16T14:00:00Z,2011,136,15,12.246,17.508,811.4,12.688224230489036,NA,9.230245126251377,1.3267253287967005,NA
2011-05-16T15:00:00Z,2011,136,16,12.334,17.508,469.8,10.473322245116886,NA,9.230245126251377,1.3362592034442677,NA
2011-05-16T16:00:00Z,2011,136,17,12.35,17.458000000000002,316,12.466734031951821,NA,9.239824743941526,1.3366054381169719,NA
2011-05-16T17:00:00Z,2011,136,18,12.346,17.36,360.2,12.371809661150158,NA,9.258652572175654,1.333455370936212,NA
2011-05-16T18:00:00Z,2011,136,19,12.346,17.256,224.2,9.334229795496922,NA,9.278708456685576,1.3305731134492487,NA
2011-05-16T19:00:00Z,2011,136,20,12.222,17.124000000000002,35.2,8.179316617410015,NA,9.337126171262817,1.3089680674569928,NA
2011-05-16T20:00:00Z,2011,136,21,12.072,17.05,0.2,5.8694902612362,NA,9.351562659075698,1.2909072462113178,NA
2011-05-16T21:00:00Z,2011,136,22,11.936,16.898,1e-5,6.692168141517285,NA,9.381341831880654,1.2723126620797294,NA
2011-05-16T22:00:00Z,2011,136,23,11.824,16.826,1e-5,5.220840394091499,NA,9.395507153166326,1.2584738436408152,NA
2011-05-16T23:00:00Z,2011,136,24,11.738,16.762,1e-5,6.407395029112294,NA,9.408130769839719,1.2476442225515507,NA
2011-05-17T00:00:00Z,2011,137,1,11.628,16.66,1e-5,7.214252180926434,NA,9.428312602370381,1.2333065830970213,NA
2011-05-17T01:00:00Z,2011,137,2,11.476,16.538,1e-5,7.372459465595874,NA,9.419322503860478,1.218346648105169,NA
2011-05-17T02:00:00Z,2011,137,3,11.34,16.445999999999998,1e-5,6.739630326918116,NA,9.43761597829177,1.201574637714022,NA
2011-05-17T03:00:00Z,2011,137,4,11.238,16.342,1e-5,5.553075691897321,NA,9.458372308439756,1.1881536942643156,NA
2011-05-17T04:00:00Z,2011,137,5,11.156,16.316,1e-5,7.926184961938912,NA,9.463574167773537,1.1788357973660426,NA
2011-05-17T05:00:00Z,2011,137,6,11.056,16.212,1e-5,7.546487478732257,NA,9.48443292549829,1.1656996350595354,NA
2011-05-17T06:00:00Z,2011,137,7,10.966,16.09,22.8,7.056044896256996,NA,9.509006983627405,1.153222415219722,NA
2011-05-17T07:00:00Z,2011,137,8,10.862,16.078,43.6,6.961120525455331,NA,9.51143026134917,1.141994390069707,NA
2011-05-17T08:00:00Z,2011,137,9,10.732,15.938,64.4,7.673053306467809,NA,9.539783717311115,1.1249730935225986,NA
2011-05-17T09:00:00Z,2011,137,10,10.738,15.764,125.4,10.663170986720212,NA,9.575234469668406,1.1214346796430836,NA
2011-05-17T10:00:00Z,2011,137,11,10.762,15.674000000000001,160.4,9.919596748773847,NA,9.593663687995653,1.1217820792974287,NA
2011-05-17T11:00:00Z,2011,137,12,10.928,15.698,186.6,9.88795529183996,NA,9.588743028507768,1.1396697114012297,NA
2011-05-17T12:00:00Z,2011,137,13,11.096,15.738,359.8,10.742274629054931,NA,9.580551956255404,1.158179617485934,NA
2011-05-17T13:00:00Z,2011,137,14,11.204,15.738,269.6,12.41927184655099,NA,9.580551956255404,1.169452454426136,NA
