datetime,year,yday,hour,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int
2012-05-01T14:00:00Z,2012,122,15,18.11,17.16,881,9.017815226158044,NA,NA,NA,NA
2012-05-01T15:00:00Z,2012,122,16,16.516,14.85,566,6.755451055385061,NA,9.799770112374006,1.685345657154296,NA
2012-05-01T16:00:00Z,2012,122,17,16.04,14.046666666666667,158,3.654588275864049,NA,9.973122503587078,1.6083227689453148,NA
2012-05-01T17:00:00Z,2012,122,18,14.625,13.895,282,1.6769972174960572,NA,10.006465946572837,1.4615549663674205,NA
2012-05-01T18:00:00Z,2012,122,19,13.598,13.832,26.4,3.2116078787896187,NA,10.020374785959369,1.3570350700907545,NA
2012-05-01T19:00:00Z,2012,122,20,13.846,13.806000000000001,22.8,3.812795560533488,NA,10.02612499239055,1.3809921590353793,NA
2012-05-01T20:00:00Z,2012,122,21,13.468,13.764,0.2,7.562308207199202,NA,10.03542622120782,1.3420456394306541,NA
2012-05-01T21:00:00Z,2012,122,22,13.668000000000001,13.818,1e-5,6.090980459773416,NA,10.023470320269512,1.3635995880948042,NA
2012-05-01T22:00:00Z,2012,122,23,14.374,14.046,1e-5,1.993411786834936,NA,9.97326863449675,1.4412526651775395,NA
2012-05-01T23:00:00Z,2012,122,24,15.17,14.244,1e-5,2.847731124049908,NA,9.93003502683858,1.527688468268139,NA
2012-05-02T00:00:00Z,2012,123,1,14.898,14.244,0.2,2.721165296314357,NA,9.93003502683858,1.5002968226933908,NA
2012-05-02T01:00:00Z,2012,123,2,15.292,14.392,1e-5,2.45221291237631,NA,9.897936872402793,1.544968431010791,NA
2012-05-02T02:00:00Z,2012,123,3,16.432,14.52,0.2,1.8352045021654966,NA,9.870325344790398,1.664788082053737,NA
2012-05-02T03:00:00Z,2012,123,4,16.736,14.89,1e-5,1.9617703299010478,NA,9.79127917803373,1.7092761523485536,NA
2012-05-02T04:00:00Z,2012,123,5,16.872,15.028,0.2,1.9775910583679919,NA,9.762086135210716,1.7283191078538682,NA
2012-05-02T05:00:00Z,2012,123,6,17.168,15.292,1e-5,2.8160896671160205,NA,9.706670143434064,1.7686806851691612,NA
2012-05-02T06:00:00Z,2012,123,7,17.222,15.406,35,2.642061653979637,NA,9.682914135947582,1.7785967899956632,NA
2012-05-02T07:00:00Z,2012,123,8,17.284,15.474,159,2.278184899239927,NA,9.702741227369232,1.7813522586014925,NA
2012-05-02T08:00:00Z,2012,123,9,17.378,15.486,550.4,1.9775910583679919,NA,9.700244889736425,1.7915011628610744,NA
2012-05-02T09:00:00Z,2012,123,10,16.908,14.726,885.4,7.182610723992547,NA,9.860646726830756,1.7146948337570438,NA
2012-05-02T10:00:00Z,2012,123,11,16.484,14.308,1177.4,13.574185024637897,NA,9.950902370146697,1.6565331853172423,NA
2012-05-02T11:00:00Z,2012,123,12,18.568,14.42,1412.4,12.593299859687374,NA,9.926574710868007,1.870534453306539,NA
2012-05-02T12:00:00Z,2012,123,13,20.133333333333333,14.446666666666667,1435.6,14.491787275720643,NA,9.920798061362182,2.0294066272495934,NA
2012-05-02T13:00:00Z,2012,123,14,22.4675,15.585,1412.4,10.868840456790483,NA,9.679693894718017,2.3210961260107608,NA
2012-05-02T14:00:00Z,2012,123,15,22.096,16.256,1361.4,12.577479131220427,NA,9.542434303985068,2.3155517026480728,NA
2012-05-02T15:00:00Z,2012,123,16,21.124,16.534,839,13.210308269898187,NA,9.486584350889993,2.2267234674425502,NA
2012-05-02T16:00:00Z,2012,123,17,21.658,16.962,886,6.518140128380901,NA,9.36878254093627,2.3117197891366157,NA
2012-05-02T17:00:00Z,2012,123,18,23.04,17.148,619.4,5.50561350649649,NA,9.332452645352113,2.4688043835373463,NA
2012-05-02T18:00:00Z,2012,123,19,23.438,16.506,367.6,5.537254963430377,NA,9.458930603959583,2.47786996028797,NA
2012-05-02T19:00:00Z,2012,123,20,21.926,15.826,96.8,4.38234178534347,NA,9.59628289813372,2.2848430202348613,NA
2012-05-02T20:00:00Z,2012,123,21,19.704,15.688,2.4,1.740280131363833,NA,9.624593952934418,2.0472551981263063,NA
2012-05-02T21:00:00Z,2012,123,22,18.094,15.46,0.4,1.4871484758927298,NA,9.705655075026414,1.8642739578246097,NA
2012-05-02T22:00:00Z,2012,123,23,16.28,15.54,0.2,0.9017815226158042,NA,9.68902558409038,1.6802515236137021,NA
2012-05-02T23:00:00Z,2012,123,24,13.958,15.344000000000001,2.4,0.9492437080166362,NA,9.72985876387957,1.4345531974026877,NA
