datetime,year,yday,hour,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int
2014-06-18T11:00:00Z,2014,169,12,NaN,NaN,NA,NaN,NA,NaN,NaN,NA
2014-06-18T12:00:00Z,2014,169,13,13.6425,25.775,1174.75,12.571369891020932,NA,7.915265071536292,1.7235683046243322,NA
2014-06-18T13:00:00Z,2014,169,14,13.464,25.753999999999998,1291,15.251140384246154,NA,7.918305157179611,1.7003638698859755,NA
2014-06-18T14:00:00Z,2014,169,15,14.078,25.9,1271.6,7.867449714076897,NA,7.8972113993474595,1.7826545711012944,NA
2014-06-18T15:00:00Z,2014,169,16,15.032,25.816,955,10.846386984455528,NA,7.909335535658962,1.9005389178684802,NA
2014-06-18T16:00:00Z,2014,169,17,15.244,25.201999999999998,786.2,18.739297700843355,NA,7.998954374157681,1.9057490875618663,NA
2014-06-18T17:00:00Z,2014,169,18,13.29,24.578,534.4,10.770003977522745,NA,8.091873240919895,1.6423885550744457,NA
2014-06-18T18:00:00Z,2014,169,19,12.959999999999999,24.54,201.8,9.522414864287247,NA,8.097593067781194,1.6004755847222567,NA
2014-06-18T19:00:00Z,2014,169,20,13.905999999999999,25.266000000000002,6.8,9.038655820379606,NA,7.989530163782049,1.7405278802298478,NA
2014-06-18T20:00:00Z,2014,169,21,14.712,25.966,3.2,6.390711580043047,NA,7.887708013820062,1.865180604330572,NA
2014-06-18T21:00:00Z,2014,169,22,14.684,25.864,1.2,6.16156255924469,NA,7.902403484580153,1.8581688506101566,NA
2014-06-18T22:00:00Z,2014,169,23,14.6,25.852,0.4,3.7173063373955566,NA,7.904135503200411,1.8471343253273442,NA
2014-06-18T23:00:00Z,2014,169,24,14.476,25.988,0.2,4.99035645294198,NA,7.884544648318588,1.8359969593281544,NA
2014-06-19T00:00:00Z,2014,170,1,14.344,25.894000000000002,0.4,4.175604378992269,2.1134540420734473,7.898076333589778,1.816138436013376,0.1271796819085468
2014-06-19T01:00:00Z,2014,170,2,13.75,25.9,0.4,15.123835372691513,2.0588621903165585,7.8972113993474595,1.7411209229040205,0.12999546584436794
2014-06-19T02:00:00Z,2014,170,3,13.4,26.012,0.2,5.372271487605907,2.0101535702414495,7.881096225089033,1.700271081241445,0.06629921624669277
2014-06-19T03:00:00Z,2014,170,4,12.676,26.048,0.2,2.7243272472693465,1.9295129229357242,7.875928515312222,1.609461027402112,0.06855304285304648
2014-06-19T04:00:00Z,2014,170,5,12.614,26.018,1,3.4626963142862723,1.9041318820305202,7.880234529924328,1.6007137797865933,0.3464458781730515
2014-06-19T05:00:00Z,2014,170,6,12.63,25.97,0.6,11.48291204222874,1.8877726805549258,7.887132691922505,1.6013424007605241,0.20931205131235603
2014-06-19T06:00:00Z,2014,170,7,12.454,25.894000000000002,37.8,9.318726845799821,1.8759200343947606,7.898076333589778,1.5768396599352057,13.253256430154817
2014-06-19T07:00:00Z,2014,170,8,12.202,25.93,179.6,4.608441418278053,1.8730559754592504,7.892889204988579,1.5459484712249494,63.04735932174439
2014-06-19T08:00:00Z,2014,170,9,12.038,25.878,220.4,5.626881510715192,1.9019331874485041,7.928484255865936,1.5183229998966845,76.42763119558785
2014-06-19T09:00:00Z,2014,170,10,11.986,25.82,361.6,2.9789372703786308,1.9134194973763292,7.936884486187334,1.510164349860376,124.78504234396053
2014-06-19T10:00:00Z,2014,170,11,12.112,25.81,447.8,6.645321603152331,1.9045980005930465,7.938334373244433,1.5257608750801173,155.10792863240138
2014-06-19T11:00:00Z,2014,170,12,12.642,25.87,641.4,8.707662790337537,1.9138617761947458,7.929641984912285,1.5942712198172262,221.30038040718742
2014-06-19T12:00:00Z,2014,170,13,13.384,25.962,1034.4,10.6426989659681,1.9471705914212554,7.916345895972531,1.6906790299308623,351.9474100865115
2014-06-19T13:00:00Z,2014,170,14,13.91,26.336000000000002,1125.6,13.51979222710302,2.0207035300788148,7.83479827972767,1.7754126530598435,371.5245375340099
2014-06-19T14:00:00Z,2014,170,15,13.644,26.626,586.2,8.249364748740826,2.060496136408871,7.793758087529,1.7506317038287509,190.38259639495024
2014-06-19T15:00:00Z,2014,170,16,13.036,26.836,42.2,16.600573506725365,2.0704978491134116,7.7919442376373524,1.6730099192743624,13.650272195947556
2014-06-19T16:00:00Z,2014,170,17,12.672,27.067999999999998,13.8,11.33014602836317,2.0624621903048395,7.7319191518422645,1.6389203962357362,4.478325134427343
2014-06-19T17:00:00Z,2014,170,18,12.43,26.982,14.6,5.219505473740336,2.0746785856728165,7.743884568916079,1.6051375623409947,4.714662436606825
2014-06-19T18:00:00Z,2014,170,19,12.174,26.894,28.8,4.124682374370413,2.077606943930167,7.783808889152223,1.564015788846781,9.28920713850147
2014-06-19T19:00:00Z,2014,170,20,12.068,26.802,41.6,3.6154623281518425,2.051213737834805,7.769032278973805,1.5533466159821434,13.56143738956246
2014-06-19T20:00:00Z,2014,170,21,12.018,26.648,11,3.8191503466392707,2.018993471481081,7.790659912325191,1.5426164324009264,3.6332864698140273
2014-06-19T21:00:00Z,2014,170,22,11.746,26.474,1e-5,2.9789372703786308,1.9784575842595298,7.815222156094438,1.502964313156508,3.3584998258551693e-6
2014-06-19T22:00:00Z,2014,170,23,11.486,26.38,0.2,3.1571642865551306,2.0254721582781965,7.82854737755003,1.467194288551982,0.06588518172900436
2014-06-19T23:00:00Z,2014,170,24,11.296,26.26,0.2,4.5575194136561965,2.0701538354934645,7.845615744443998,1.4397850172562234,0.06470220102645845
2014-06-20T00:00:00Z,2014,171,1,10.992,25.93,0.8,5.219505473740336,2.134126168093223,7.892889204988579,1.3926459265452094,0.2541057965418857
2014-06-20T01:00:00Z,2014,171,2,10.85,25.81,0.2,3.7427673397064853,2.1294905421402106,7.910202788216165,1.3716462511129617,0.06364277226583843
2014-06-20T02:00:00Z,2014,171,3,10.784,25.994,1e-5,5.244966476051265,2.1920900269138754,7.883682296019721,1.3678887092449907,3.1051051679517e-6
2014-06-20T03:00:00Z,2014,171,4,10.116,26.002000000000002,1e-5,10.999152998321101,2.1692448615476425,7.882532748621113,1.283343859468213,3.132844228934405e-6
2014-06-20T04:00:00Z,2014,171,5,9.79,25.914,1e-5,7.689222697900398,2.115638892179359,7.895193861779506,1.2399948844059696,3.1996265522860655e-6
2014-06-20T05:00:00Z,2014,171,6,9.536,25.858,3.4,6.416172582353974,2.156697325137353,7.903269411106709,1.2065892612238125,1.070408738479655
2014-06-20T06:00:00Z,2014,171,7,9.312,25.796,63,4.226526383614126,2.101796985161902,7.9122270231410665,1.1769126407476662,20.268779040422366
2014-06-20T07:00:00Z,2014,171,8,9.379999999999999,25.748,185.2,4.8375904390764095,2.0383180658719624,7.919174127587335,1.184466946789781,61.121988306537
2014-06-20T08:00:00Z,2014,171,9,9.544,25.73,555,9.64971987584189,1.9868439459398577,7.9217820383064526,1.2047794238530136,187.05585434787096
2014-06-20T09:00:00Z,2014,171,10,9.428,25.512,628.6,7.256385658614614,1.922686645156157,7.953486283691879,1.1853921241219112,217.57470716602467
2014-06-20T10:00:00Z,2014,171,11,8.654,25.054,845.4,11.381068032985025,1.9098147866814223,8.020822703666257,1.0789416896154957,294.1981405071334
2014-06-20T11:00:00Z,2014,171,12,7.99,24.68,875.4,8.071137732564326,1.89273047511364,8.076555145964326,0.9892831604068753,306.8371960632875
2014-06-20T12:00:00Z,2014,171,13,6.674,24.4,1057,9.191421834245178,1.833514094679364,8.089935500168194,0.8249756750052265,379.9452632529956
2014-06-20T13:00:00Z,2014,171,14,6.39,24.5,351.2,9.904329898951174,1.7788706796987785,8.074877469836201,0.7913432772038856,129.2597810612059
2014-06-20T14:00:00Z,2014,171,15,9.064,25.03,900.4,5.194044471429408,1.7127057797583893,7.99588621473876,1.133582914585802,341.1810918692296
2014-06-20T15:00:00Z,2014,171,16,10.736,25.434,476.4,5.041278457563838,1.675102473134496,7.936579699758128,1.3527237684423665,183.57399996050293
2014-06-20T16:00:00Z,2014,171,17,10.086,25.048000000000002,86.4,6.849009621639759,1.649102849838188,7.993227331307679,1.261818234606615,33.68519273838666
